N;IMAGEN;DESCRIPCION;U.M;VR UNT PUBLICO;IVA19%;VR CON IVA;DTO%;VR DTO;PRECIO DESCUENTO % + IVA
126;;TERCER STOP G7 PEQUEÑO;und;$42.017;$7.983;$50.000;6%;$2.521;$39.496
127;;TERCER STOP G8 LED 24V;und;$126.050;$23.950;$150.000;6%;$7.563;$118.487
128;;LUZ TECHO FRENTE NEW G7 GRANDE;und;$54.622;$10.378;$65.000;6%;$3.277;$51.345
129;;LUZ TECHO FRENTE GRANDE PARADISO G7;und;$50.420;$9.580;$60.000;6%;$3.025;$47.395
130;;STOP SUPERIOR G7 GRANDE;und;$50.420;$9.580;$60.000;6%;$3.025;$47.395
131;;STOP SUPERIOR NEW G7 GRANDE;und;$54.622;$10.378;$65.000;6%;$3.277;$51.345
132;;STOP SUPERIOR CENTRAL G8;und;$159.664;$30.336;$190.000;6%;$9.580;$150.084
133;;LUZ ESCALERA G7 BLANCA ;und;$16.807;$3.193;$20.000;15%;$2.521;$14.286
134;;LUZ ESPEJOS  G7 AMARILLA;und;$16.807;$3.193;$20.000;15%;$2.521;$14.286
135;;ESPEJO MANUAL G7 DER  F GRIS;und;$672.269;$127.731;$800.000;6%;$40.336;$631.933
136;;ESPEJO MANUAL G7 IZQ  F GRIS;und;$672.269;$127.731;$800.000;6%;$40.336;$631.933
137;;ESPEJO ELECTRICO NEW G7 CON CALEFACCION DER;und;$1.260.504;$239.496;$1.500.000;6%;$75.630;$1.184.874
138;;ESPEJO ELECTRICO NEW G7 CON CALEFACCION IZQ;und;$1.260.504;$239.496;$1.500.000;6%;$75.630;$1.184.874
139;;ESPEJO CON CALEFACCION GENERICO G8 F GRIS DER;und;$1.008.403;$191.597;$1.200.000;6%;$60.504;$947.899
140;;ESPEJO CON CALEFACCION GENERICO G8 F GRIS IZQ;und;$1.008.403;$191.597;$1.200.000;6%;$60.504;$947.899
141;;ESPEJO DERECHO MANUAL PARADISO G6;und;$672.269;$127.731;$800.000;6%;$40.336;$631.933
142;;ESPEJO IZQUIERDO MANUAL PARADISO G6;und;$672.269;$127.731;$800.000;6%;$40.336;$631.933
143;;CONECTOR FAROL G7;und;$16.807;$3.193;$20.000;6%;$1.008;$15.798
144;;CONECTOR DOS VIAS STOP G7 ;und;$4.202;$798;$5.000;6%;$252;$3.950
145;;CONECTOR STOP G7 2 VIAS ALAMBRE;und;$5.882;$1.118;$7.000;6%;$353;$5.529
146;;CONECTOR STOP G7 3 VIAS ALAMBRE;und;$5.882;$1.118;$7.000;6%;$353;$5.529
147;;CONECTOR TRES VIAS STOP G7;und;$5.882;$1.118;$7.000;6%;$353;$5.529
148;;PISTON SPRING BODEGA 85 KL* 552 mm ;und;$29.412;$5.588;$35.000;15%;$4.412;$25.000
149;;PISTON CHINO SILLA EUROCITY 265 MM 45 KL;und;$37.815;$7.185;$45.000;6%;$2.269;$35.546
150;;CERRADURA DE 1 GIRO LLAVE 810;und;$12.605;$2.395;$15.000;15%;$1.891;$10.714
151;;CERRADURA DE 1 GIRO LLAVE 811 GEN;und;$12.605;$2.395;$15.000;15%;$1.891;$10.714
152;;CERRADURA DE 1 GIRO LLAVE 812 GEN;und;$12.605;$2.395;$15.000;15%;$1.891;$10.714
153;;CERRADURA DE 1 GIRO LLAVE 813 GEN;und;$12.605;$2.395;$15.000;15%;$1.891;$10.714
154;;CHAPA PICOLORO CON LLAVE 811;und;$42.017;$7.983;$50.000;6%;$2.521;$39.496
155;;CHAPA PICOLORO CON LLAVE 800;und;$42.017;$7.983;$50.000;6%;$2.521;$39.496
156;;LLAVE MARCOPOLO 800-810-811-812-813;und;$10.084;$1.916;$12.000;15%;$1.513;$8.571
157;;MANIJA PUERTAS LATERALES G7;und;$20.000;$3.800;$23.800;6%;$1.200;$18.800
158;;LUZ TECHO BLANCA ANDARE Y PARADISO;und;$12.605;$2.395;$15.000;6%;$756;$11.849
159;;LUZ AIRE PALOMERA UNIVERSAL 24V;und;$58.824;$11.176;$70.000;6%;$3.529;$55.294
160;;LUZ AIRE PALOMERA GEN G7 CON PARLANTE;und;$147.059;$27.941;$175.000;6%;$8.824;$138.235
161;;STOP AGA CENTRO BLANCO ARO LED ROJO 24V;UND;$31.513;$5.987;$37.500;6%;$1.891;$29.622
162;;STOP AGA CENTRO ROJO ARO LED ROJO 24V;und;$31.513;$5.987;$37.500;6%;$1.891;$29.622
163;;FAROL TIPO TEMPLE URB CON LUZ POCICION;und;$25.210;$4.790;$30.000;6%;$1.513;$23.697
164;;MANIJA BODEGA Y PUERTA TRAS G7 GEN;und;$117.647;$22.353;$140.000;6%;$7.059;$110.588
165;;CHAPA PUERTA SANITARIO G7;und;$184.874;$35.126;$220.000;6%;$11.092;$173.782
166;;MANIJA BODEGA TIPO AGA;und;$50.420;$9.580;$60.000;6%;$3.025;$47.395
167;;LUZ REVERSA BRT TORINO ;und;$21.008;$3.992;$25.000;6%;$1.261;$19.748
168;;LUZ PLACA LED G7;und;$12.605;$2.395;$15.000;6%;$756;$11.849
169;;REFLECTIVO BRT TORINO DERECHO;und;$18.908;$3.592;$22.500;6%;$1.134;$17.773
170;;REFLECTIVO BRT TORINO IZQUIERDO;und;$18.908;$3.592;$22.500;6%;$1.134;$17.773
